,단어명,경제총빈도수,정치총빈도수,사회총빈도수,총빈도수
0,삼성,2058,80,398,2536
138,의혹,145,402,1311,1858
235,수사,81,366,1403,1850
33,논란,403,390,813,1606
50,조사,308,259,1026,1593
22,인사,479,280,718,1477
1,금융,1316,19,49,1384
5,지원,817,237,310,1364
2,시장,973,109,183,1265
190,혐의,103,116,1046,1265
6,경제,792,384,81,1257
4,사업,901,76,211,1188
16,공개,535,215,407,1157
144,여성,136,106,876,1118
11,최고,598,149,317,1064
291,구속,52,125,851,1028
10,최저임금,616,174,236,1026
3,증가,905,26,93,1024
216,국회,89,790,138,1017
86,국민,218,449,327,994
340,사건,28,162,788,978
38,단독,377,151,408,936
39,직원,374,66,468,908
15,확대,538,117,239,894
24,채용,475,78,338,891
23,개최,476,180,231,887
7,산업,737,52,94,883
83,피해,224,64,590,878
8,인상,674,86,111,871
301,법원,48,67,750,865
285,사망,56,57,743,856
12,일자리,563,184,108,855
9,해외,633,75,131,839
85,병원,221,35,564,820
71,장관,248,390,176,814
34,사회,394,88,314,796
41,노조,359,43,384,786
25,거래,470,55,243,768
300,선언,48,628,89,765
48,정책,309,276,177,762
14,세계,542,45,174,761
98,문제,190,265,295,750
118,합의,170,436,144,750
312,속보,45,279,421,745
188,불법,105,98,539,742
70,전국,252,37,452,741
57,검토,299,247,192,738
17,규제,531,123,74,728
20,혁신,509,141,74,724
29,고용,439,127,151,717
94,사고,194,76,445,715
35,미국,389,220,104,713
56,추가,300,115,294,709
55,결정,301,163,240,704
30,협력,431,175,89,695
26,강화,461,95,123,679
100,비리,188,96,384,668
27,공장,445,39,182,666
43,하나,349,124,178,651
63,위해,267,169,204,640
53,지역,306,112,221,639
88,현장,212,96,329,637
128,요구,153,207,272,632
18,부동산,517,61,45,623
13,상승,555,39,28,622
40,소득,371,172,72,615
303,피해자,47,59,509,615
122,논의,161,354,93,608
65,대책,259,175,172,606
66,발표,259,199,146,604
191,인천,102,52,445,599
51,경기,308,89,201,598
42,공사,351,58,188,597
52,이상,307,100,186,593
134,위원장,149,316,126,591
44,청년,343,76,171,590
45,관리,340,55,192,587
46,우려,315,107,164,586
21,종합,491,40,51,582
28,하락,445,110,18,573
139,확인,142,172,257,571
37,도입,380,65,114,559
19,이익,511,16,20,547
75,안전,236,83,226,545
109,신청,180,42,322,544
172,반대,115,197,231,543
184,사람,107,140,293,540
198,사실,98,201,226,525
120,관련,165,138,222,525
32,작년,404,45,74,523
133,국가,150,168,203,521
96,공동,192,251,78,521
119,교육,169,74,278,521
230,조작,84,131,303,518
163,고발,121,123,273,517
47,개선,311,107,96,514
149,회의,134,242,134,510
31,목표,412,58,32,502
73,정보,240,77,183,500
69,자금,253,67,179,499
105,가능성,183,165,145,493
36,게임,384,30,74,488
273,인정,60,107,321,488
154,책임,128,138,213,479
250,공무원,72,102,303,477
61,시대,270,85,122,477
268,보수,65,280,132,477
58,카드,295,106,76,477
233,단체,83,107,285,475
143,개혁,136,207,130,473
49,전환,308,61,99,468
332,처벌,36,79,351,466
127,대응,153,123,179,455
259,사과,70,159,224,453
81,취업,229,31,193,453
264,대화,67,313,70,450
82,위기,228,93,126,447
64,강남,264,48,133,445
74,가능,239,93,111,443
129,서울시,153,37,247,437
117,필요,172,135,129,436
207,유출,92,61,283,436
168,폐지,119,117,195,431
62,역대,269,51,110,430
91,행사,199,131,98,428
137,준비,147,186,95,428
205,신고,94,54,279,427
176,방문,113,245,66,424
107,운영,181,74,161,416
271,가족,61,63,288,412
80,전쟁,229,81,101,411
68,진행,256,71,84,411
67,영향,256,49,101,406
170,협의,117,234,53,404
214,취소,90,143,162,395
89,본격,205,79,109,393
101,업무,187,72,131,390
160,특별,122,137,129,388
116,사용,172,88,126,386
77,효과,234,70,80,384
246,심사,77,65,241,383
314,정상,44,280,58,382
93,기관,195,94,93,382
263,영상,68,62,251,381
218,위반,88,103,188,379
115,참여,173,66,134,373
150,통합,133,195,41,369
103,이후,184,85,99,368
202,결과,95,138,135,368
153,착수,128,51,186,365
79,회사,232,15,116,363
54,계약,303,14,45,362
156,갈등,128,96,137,361
59,원전,285,48,27,360
200,계속,96,121,143,360
185,금지,107,80,172,359
148,가장,135,64,155,354
87,적용,214,39,100,353
60,전망,284,28,39,351
106,계획,182,84,83,349
72,부담,244,37,66,347
221,조치,88,123,133,344
124,점검,159,109,76,344
104,속도,184,79,79,342
237,처리,81,172,89,342
267,보고,65,157,119,341
232,방송,83,79,178,340
78,광고,232,17,91,340
95,완화,194,118,25,337
145,주도,136,166,34,336
210,요청,90,137,108,335
114,건강,174,24,133,331
201,반발,95,74,160,329
177,예산,111,130,84,325
290,연기,53,96,176,325
84,대비,224,47,54,325
175,해결,114,113,94,321
140,전문,139,103,79,321
132,기준,151,48,121,320
164,전문가,121,121,75,317
322,비판,39,161,115,315
183,원장,107,49,158,314
159,문화,124,33,155,312
112,평가,176,73,62,311
90,최저,204,53,54,311
187,일부,106,67,135,308
97,회복,190,50,63,303
76,시스템,235,25,41,301
174,핵심,114,90,92,296
169,비상,118,37,139,294
102,최종,187,39,68,294
274,의심,60,60,173,293
179,감사,109,83,96,288
213,주의,90,68,130,288
194,활동,101,74,113,288
110,조선,179,42,67,288
256,여부,71,77,139,287
136,조정,147,52,88,287
208,기간,91,65,130,286
126,출범,155,71,60,286
355,실종,16,13,257,286
197,지방,98,78,109,285
180,공식,108,113,63,284
142,환경,137,36,109,282
330,입장,36,167,78,281
171,압박,116,128,37,281
121,유지,163,62,56,281
238,모든,80,85,115,280
99,경쟁,189,47,40,276
146,제한,136,44,95,275
130,주목,153,66,56,275
113,급증,174,11,89,274
299,의사,49,39,183,271
165,선물,121,74,75,270
336,역사,31,129,107,267
193,기념,101,73,92,266
155,방안,128,85,53,266
349,지시,22,103,139,264
196,교체,99,102,60,261
123,예상,161,32,64,257
222,대한민국,88,74,95,257
260,발생,69,13,172,254
131,수준,151,40,63,254
199,전달,97,75,82,254
344,촉구,26,98,127,251
228,선택,85,59,104,248
161,주년,122,51,74,247
192,사태,101,55,89,245
92,활용,197,15,33,245
234,세상,82,23,140,245
281,제안,56,136,52,244
309,생각,46,107,91,244
209,어디,91,46,106,243
166,제도,120,58,65,243
151,내달,132,63,45,240
282,다른,56,51,133,240
204,재단,94,35,109,238
305,구성,46,134,58,238
227,이틀,85,52,101,238
186,체제,107,100,31,238
135,지속,148,45,45,238
182,통해,107,66,60,233
108,안정,180,23,28,231
293,제출,52,73,105,230
254,수도,71,79,79,229
261,노동,69,32,128,229
158,민간,125,43,60,228
152,인도,131,60,37,228
173,투입,115,24,88,227
111,구축,179,28,19,226
141,생활,138,28,59,225
242,도전,78,79,66,223
181,공공기관,108,53,62,223
275,처음,58,64,101,223
125,인기,155,16,47,218
253,예고,71,58,88,217
206,의무,93,28,96,217
147,신설,135,40,42,217
195,연장,99,34,83,216
236,나선,81,60,74,215
157,세금,126,32,51,209
295,판단,52,61,95,208
248,등장,75,53,79,207
178,비용,110,58,38,206
331,재산,36,65,103,204
231,적극,84,68,51,203
257,전면,71,58,73,202
244,보장,77,49,75,201
294,포기,52,72,77,201
296,부정,50,52,99,201
189,보고서,103,57,39,199
219,성과,88,83,24,195
243,상황,77,73,44,194
240,보호,80,30,83,193
318,나라,41,85,66,192
270,목소리,63,56,73,192
217,현실,89,54,48,191
272,결론,60,34,96,190
167,재정,119,47,22,188
284,자료,56,39,92,187
225,변화,87,57,43,187
266,돌입,66,69,52,187
226,고민,86,45,54,185
288,철회,54,68,63,185
162,공유,122,34,27,183
343,선수,26,68,88,182
223,걱정,87,26,68,181
279,노력,56,83,42,181
220,기회,88,54,36,178
229,근로,85,28,65,178
319,수용,41,73,63,177
251,관심,72,40,65,177
334,의지,32,115,29,176
298,누가,49,48,76,173
212,해소,90,28,53,171
276,단계,58,51,59,168
323,한국인,38,47,82,167
241,허용,79,35,51,165
338,특혜,29,35,99,163
329,제기,37,53,73,163
317,이름,41,38,82,161
215,설명,89,39,31,159
269,절차,64,34,59,157
239,중심,80,31,43,154
287,소통,54,68,31,153
249,최악,74,30,48,152
247,과제,77,43,29,149
262,최소,68,34,46,148
315,기획,42,46,58,146
304,찬성,46,60,39,145
297,마무리,49,38,57,144
255,관광,71,35,38,144
277,역할,58,54,30,142
278,이슈,57,29,55,141
203,활성화,94,24,22,140
211,분야,90,26,23,139
307,동영상,46,20,72,138
311,중요,45,50,43,138
345,주기,26,39,72,137
224,조기,87,27,22,136
265,외부,66,20,46,132
310,종료,46,52,33,131
280,정지,56,22,53,131
286,여의도,56,36,36,128
306,예방,46,19,62,127
313,고려,44,45,37,126
341,상대,28,22,76,126
308,배제,46,32,48,126
354,의미,16,73,35,124
245,비율,77,10,37,124
252,공정,71,21,31,123
342,무슨,27,33,63,123
316,불가,41,43,33,117
328,지자체,37,26,53,116
348,불참,22,61,33,116
289,여전,54,13,48,115
337,꼼수,31,33,49,113
283,발굴,56,30,24,110
326,경험,37,17,55,109
302,폭풍,48,35,26,109
339,공감,29,51,29,109
350,강행,21,58,29,108
258,대폭,70,21,17,108
333,완전,34,39,32,105
324,방향,38,35,31,104
320,직무,39,23,36,98
351,방침,21,26,51,98
292,대치,52,22,20,94
327,시급,37,17,39,93
335,총력,32,35,24,91
346,전격,24,40,22,86
321,발목,39,23,23,85
347,교환,24,37,13,74
325,극복,38,17,19,74
352,대처,19,22,32,73
353,신속,17,20,21,58
356,대국민,11,16,13,40
